15903 Education
5011 Not for Profit
4365 Devolved Administrations
4009 Local Government
3220 Health
1759 Central Government
 725 Private
 138 Police
  74 Fire and Rescue
  39 Utility Historic
  28 Wider Public Sector
   1 Sector
